,compound,create_date,negative,neutral,news_media,positive,tweets_ago
0,0.4019,2018-03-24 01:41:30+00:00,0.0,0.881,fox,0.119,0
1,0.4404,2018-03-23 23:03:43+00:00,0.0,0.854,fox,0.146,-1
2,0.7213,2018-03-23 23:03:00+00:00,0.0,0.373,fox,0.627,-2
3,0.7959,2018-03-23 22:54:03+00:00,0.0,0.497,fox,0.503,-3
4,0.4588,2018-03-23 22:32:15+00:00,0.0,0.769,fox,0.231,-4
5,0.0,2018-03-23 22:17:43+00:00,0.0,1.0,fox,0.0,-5
6,0.3174,2018-03-23 22:09:16+00:00,0.0,0.85,fox,0.15,-6
7,-0.2023,2018-03-23 22:08:00+00:00,0.163,0.741,fox,0.096,-7
8,0.6369,2018-03-23 22:05:46+00:00,0.0,0.846,fox,0.154,-8
9,-0.5009,2018-03-23 22:04:12+00:00,0.175,0.825,fox,0.0,-9
10,-0.2732,2018-03-23 22:02:44+00:00,0.099,0.852,fox,0.049,-10
11,0.802,2018-03-23 10:19:46+00:00,0.0,0.549,fox,0.451,-11
12,0.3612,2018-03-23 10:08:18+00:00,0.0,0.894,fox,0.106,-12
13,0.926,2018-03-23 10:08:07+00:00,0.0,0.571,fox,0.429,-13
14,0.0,2018-03-23 08:32:21+00:00,0.0,1.0,fox,0.0,-14
15,0.0,2018-03-23 08:30:43+00:00,0.0,1.0,fox,0.0,-15
16,0.0,2018-03-23 03:38:24+00:00,0.0,1.0,fox,0.0,-16
17,0.4767,2018-03-22 23:43:23+00:00,0.0,0.853,fox,0.147,-17
18,0.8481,2018-03-22 20:41:52+00:00,0.0,0.662,fox,0.338,-18
19,0.9098,2018-03-22 20:29:50+00:00,0.0,0.419,fox,0.581,-19
20,0.4019,2018-03-22 20:29:29+00:00,0.0,0.649,fox,0.351,-20
21,0.7959,2018-03-22 01:21:07+00:00,0.0,0.361,fox,0.639,-21
22,0.6959,2018-03-22 01:09:38+00:00,0.0,0.759,fox,0.241,-22
23,0.9081,2018-03-21 23:17:34+00:00,0.0,0.648,fox,0.352,-23
24,-0.4574,2018-03-21 22:35:50+00:00,0.125,0.875,fox,0.0,-24
25,0.4389,2018-03-21 01:30:04+00:00,0.0,0.862,fox,0.138,-25
26,0.4199,2018-03-20 23:43:13+00:00,0.0,0.417,fox,0.583,-26
27,0.4199,2018-03-20 23:21:08+00:00,0.0,0.417,fox,0.583,-27
28,0.0,2018-03-20 22:30:20+00:00,0.0,1.0,fox,0.0,-28
29,-0.4019,2018-03-20 19:54:47+00:00,0.137,0.863,fox,0.0,-29
30,0.3612,2018-03-20 19:54:21+00:00,0.0,0.839,fox,0.161,-30
31,-0.5267,2018-03-20 18:46:00+00:00,0.221,0.779,fox,0.0,-31
32,0.4199,2018-03-20 05:15:04+00:00,0.0,0.417,fox,0.583,-32
33,0.0,2018-03-19 23:38:23+00:00,0.0,1.0,fox,0.0,-33
34,0.0,2018-03-19 22:55:26+00:00,0.0,1.0,fox,0.0,-34
35,0.9178,2018-03-19 10:25:22+00:00,0.0,0.456,fox,0.544,-35
36,0.0,2018-03-19 06:54:56+00:00,0.0,1.0,fox,0.0,-36
37,0.8172,2018-03-19 00:57:53+00:00,0.0,0.706,fox,0.294,-37
38,0.481,2018-03-19 00:08:00+00:00,0.079,0.752,fox,0.168,-38
39,0.0,2018-03-18 23:11:31+00:00,0.118,0.725,fox,0.156,-39
40,0.6705,2018-03-18 21:53:04+00:00,0.0,0.776,fox,0.224,-40
41,0.3818,2018-03-18 03:17:02+00:00,0.0,0.698,fox,0.302,-41
42,0.7569,2018-03-17 21:10:23+00:00,0.0,0.481,fox,0.519,-42
43,0.7096,2018-03-17 08:20:32+00:00,0.0,0.742,fox,0.258,-43
44,0.765,2018-03-17 07:02:55+00:00,0.0,0.761,fox,0.239,-44
45,-0.34,2018-03-17 06:59:15+00:00,0.345,0.473,fox,0.182,-45
46,0.1646,2018-03-17 06:58:49+00:00,0.134,0.711,fox,0.156,-46
47,0.4588,2018-03-17 04:44:27+00:00,0.0,0.769,fox,0.231,-47
48,0.6114,2018-03-17 04:43:03+00:00,0.0,0.84,fox,0.16,-48
49,0.5106,2018-03-17 03:16:57+00:00,0.152,0.381,fox,0.467,-49
50,0.0,2018-03-17 03:10:32+00:00,0.0,1.0,fox,0.0,-50
51,0.2263,2018-03-16 23:36:37+00:00,0.0,0.913,fox,0.087,-51
52,0.4199,2018-03-16 23:36:24+00:00,0.0,0.782,fox,0.218,-52
53,0.7835,2018-03-16 23:27:46+00:00,0.0,0.537,fox,0.463,-53
54,0.7345,2018-03-16 23:27:14+00:00,0.0,0.64,fox,0.36,-54
55,-0.3597,2018-03-16 23:11:30+00:00,0.14,0.782,fox,0.078,-55
56,0.0,2018-03-16 23:09:07+00:00,0.0,1.0,fox,0.0,-56
57,0.0,2018-03-16 23:07:25+00:00,0.0,1.0,fox,0.0,-57
58,-0.818,2018-03-16 23:00:59+00:00,0.321,0.679,fox,0.0,-58
59,0.4199,2018-03-16 22:40:18+00:00,0.0,0.417,fox,0.583,-59
60,0.5719,2018-03-16 20:34:54+00:00,0.0,0.829,fox,0.171,-60
